 ********* BEGIN READER ****************************
 
 Nucleus            :  Se  34  96
 Imin, Imax         :     0  10
 imu, remu          :     1 12.0000
 nlevel             :    10
 observables        :     2
 wave fun           :     1
 nbet, ngam, npar   :    10   7  10
 Finish reading parameters: V, B_k ...
 
 ********* END READER ******************************
 
 ********* BEGIN LEVELS ********************
 
 E_0 =  -818.311313
 
  I=   0   ntot= 127
   0   1    0.000000
   0   2    2.710572
   0   3    3.526352
   0   4    5.422433
   0   5    5.914858
   0   6    7.199294
   0   7    7.958237
   0   8    8.881837
   0   9    9.623736
   0  10   10.750467
 
  I=   2   ntot= 234
   2   1    0.821117
   2   2    2.035407
   2   3    4.017249
   2   4    4.609667
   2   5    4.975915
   2   6    5.877255
   2   7    6.493300
   2   8    7.027533
   2   9    7.644286
   2  10    8.196367
 
  I=   3   ntot= 108
   3   1    3.406747
   3   2    5.970247
   3   3    7.251829
   3   4    8.793234
   3   5    9.440546
   3   6   11.329972
   3   7   11.674899
   3   8   12.509712
   3   9   14.090812
   3  10   14.931744
 
  I=   4   ntot= 324
   4   1    1.913601
   4   2    3.264276
   4   3    4.726795
   4   4    5.085235
   4   5    5.949770
   4   6    6.020761
   4   7    6.991726
   4   8    7.324464
   4   9    7.672882
   4  10    8.273114
 
  I=   5   ntot= 198
   5   1    4.825573
   5   2    6.160435
   5   3    7.115142
   5   4    8.205984
   5   5    8.693437
   5   6    9.926614
   5   7   10.066410
   5   8   10.964074
   5   9   11.211804
   5  10   12.417685
 
  I=   6   ntot= 432
   6   1    3.272039
   6   2    4.701838
   6   3    6.133213
   6   4    6.168411
   6   5    7.112520
   6   6    7.446746
   6   7    7.533276
   6   8    8.305486
   6   9    8.741048
   6  10    8.977663
 
  I=   7   ntot= 306
   7   1    6.362696
   7   2    7.557243
   7   3    8.530807
   7   4    8.741150
   7   5    9.739467
   7   6   10.138373
   7   7   11.122159
   7   8   11.372406
   7   9   11.441457
   7  10   12.558981
 
  I=   8   ntot= 522
   8   1    4.866740
   8   2    6.269198
   8   3    7.439767
   8   4    7.581241
   8   5    8.553855
   8   6    8.801430
   8   7    9.027996
   8   8    9.887528
   8   9   10.031911
   8  10   10.207125
 
  I=   9   ntot= 397
   9   1    7.953286
   9   2    8.985311
   9   3   10.101107
   9   4   10.262482
   9   5   11.299418
   9   6   11.500240
   9   7   11.634339
   9   8   12.824971
   9   9   12.948374
   9  10   12.993543
 
  I=  10   ntot= 630
  10   1    6.646963
  10   2    7.818216
  10   3    9.026281
