 ********* BEGIN READER ****************************
 
 Nucleus            :  Ra  88 242
 Imin, Imax         :     0  10
 imu, remu          :     1 12.0000
 nlevel             :    10
 observables        :     2
 wave fun           :     1
 nbet, ngam, npar   :    10   7  10
 Finish reading parameters: V, B_k ...
 
 ********* END READER ******************************
 
 ********* BEGIN LEVELS ********************
 
 E_0 = -1937.337105
 
  I=   0   ntot= 127
   0   1    0.000000
   0   2    1.722386
   0   3    2.720265
   0   4    3.281441
   0   5    3.907920
   0   6    4.276556
   0   7    4.348567
   0   8    4.790284
   0   9    4.984806
   0  10    5.117166
 
  I=   2   ntot= 234
   2   1    0.622404
   2   2    1.483279
   2   3    2.506829
   2   4    3.226863
   2   5    3.493989
   2   6    3.793799
   2   7    4.039416
   2   8    4.209138
   2   9    4.411326
   2  10    4.531579
 
  I=   3   ntot= 108
   3   1    2.223528
   3   2    3.814770
   3   3    4.449131
   3   4    5.001174
   3   5    5.083386
   3   6    5.485710
   3   7    5.642403
   3   8    6.026030
   3   9    6.336100
   3  10    6.373251
 
  I=   4   ntot= 324
   4   1    1.356919
   4   2    2.374388
   4   3    3.159202
   4   4    3.280844
   4   5    3.953126
   4   6    4.069749
   4   7    4.290960
   4   8    4.386767
   4   9    4.436239
   4  10    4.659261
 
  I=   5   ntot= 198
   5   1    3.101157
   5   2    4.056406
   5   3    4.342764
   5   4    4.744944
   5   5    4.960879
   5   6    5.317011
   5   7    5.468689
   5   8    5.635896
   5   9    5.758029
   5  10    6.011327
 
  I=   6   ntot= 432
   6   1    2.192906
   6   2    3.333376
   6   3    3.911796
   6   4    4.194076
   6   5    4.358966
   6   6    4.630942
   6   7    4.644983
   6   8    4.847884
   6   9    4.950796
   6  10    5.067111
 
  I=   7   ntot= 306
   7   1    4.031664
   7   2    4.780381
   7   3    4.974201
   7   4    5.211563
   7   5    5.442758
   7   6    5.503793
   7   7    5.734377
   7   8    5.838992
   7   9    6.033873
   7  10    6.157247
 
  I=   8   ntot= 522
   8   1    3.116338
   8   2    4.331046
   8   3    4.475302
   8   4    4.654998
   8   5    5.051299
   8   6    5.111758
   8   7    5.204191
   8   8    5.363607
   8   9    5.490510
   8  10    5.558553
 
  I=   9   ntot= 397
   9   1    4.941099
   9   2    5.261679
   9   3    5.537461
   9   4    5.788214
   9   5    5.936843
   9   6    6.190647
   9   7    6.228930
   9   8    6.259406
   9   9    6.324860
   9  10    6.636106
 
  I=  10   ntot= 630
  10   1    4.106775
  10   2    4.825006
  10   3    5.044136
